"Student","StepID","Correct","KC_1","KC_2","KC_3","KC_4","KC_5"
"stu1",478,0,0,1,0,0,0
"stu1",479,1,0,1,0,0,0
"stu1",484,1,0,1,0,0,0
"stu1",485,1,0,1,0,0,0
"stu1",497,1,0,0,0,0,1
"stu1",518,1,0,0,0,0,0
"stu1",538,1,0,0,0,0,0
"stu1",593,0,0,0,0,0,1
"stu1",597,1,0,0,0,0,1
"stu1",604,0,0,0,0,0,1
"stu1",605,1,0,0,0,0,1
"stu1",606,1,0,0,0,0,1
"stu1",619,1,0,0,0,0,1
"stu1",626,1,0,0,1,0,0
"stu1",653,1,0,0,1,0,0
"stu1",686,1,0,0,0,0,1
"stu1",698,1,0,0,0,0,1
"stu1",705,0,0,1,0,0,0
"stu1",706,1,0,1,0,0,0
"stu1",709,1,0,0,0,0,0
"stu1",733,0,0,0,1,0,0
"stu1",734,1,0,0,1,0,0
"stu1",741,0,0,0,1,0,0
"stu1",742,1,0,0,1,0,0
"stu1",747,0,0,0,1,0,0
"stu1",748,1,0,0,1,0,0
"stu1",757,1,0,0,1,0,0
"stu1",774,1,0,0,0,0,0
"stu1",804,1,0,0,0,0,0
"stu1",814,1,0,0,0,0,0
"stu1",871,0,0,0,0,0,1
"stu1",873,1,0,0,0,0,1
"stu1",902,1,0,0,1,0,0
"stu1",925,1,0,0,0,0,1
"stu1",933,0,0,1,0,0,0
"stu1",937,0,0,0,0,0,0
"stu1",938,1,0,0,0,0,0
"stu1",939,1,0,1,0,0,0
"stu1",954,1,0,1,0,0,0
"stu1",972,1,0,0,1,0,0
"stu1",981,0,0,0,1,0,0
"stu1",982,1,0,0,1,0,0
"stu1",1000,1,0,0,1,0,0
"stu1",1018,1,0,0,1,0,0
"stu1",1111,1,0,0,0,0,0
"stu1",1113,1,0,0,0,0,0
"stu1",1283,0,0,0,0,0,1
"stu1",1284,1,0,0,0,0,1
"stu1",1303,1,0,0,0,0,0
"stu1",1308,1,0,0,1,0,0
"stu1",1313,1,0,0,1,0,0
"stu1",1314,1,0,1,0,0,0
"stu1",1323,1,0,0,1,0,0
"stu1",1324,1,0,0,1,0,0
"stu1",1414,1,0,0,0,0,0
"stu1",1415,1,0,0,1,0,0
"stu1",1416,1,0,0,1,0,0
"stu1",1439,1,0,0,0,0,1
"stu1",1486,1,1,0,0,0,0
"stu1",1567,0,0,1,1,0,0
"stu1",1584,1,0,0,0,0,1
"stu1",1593,1,0,0,0,0,0
"stu1",1626,0,0,1,0,0,0
"stu1",1677,1,0,0,0,0,0
"stu1",1685,0,0,0,1,0,0
"stu1",1686,1,0,0,1,0,0
"stu1",1732,1,0,0,0,0,0
"stu1",1863,1,0,0,1,0,0
"stu1",1864,1,0,0,1,0,0
"stu1",1876,1,0,0,1,0,0
"stu1",1891,1,0,0,1,0,0
"stu1",1899,1,0,0,0,0,0
"stu1",1906,1,0,0,0,0,0
"stu1",1911,1,0,0,0,0,0
"stu1",1932,1,0,0,1,0,0
"stu1",1937,1,0,0,0,0,0
"stu1",1966,1,0,0,0,0,0
"stu1",1978,0,0,0,0,0,0
"stu1",1979,1,0,0,0,0,0
"stu1",1985,1,0,0,0,0,0
"stu1",1998,0,0,0,0,0,0
"stu1",1999,1,0,0,0,0,0
"stu1",2006,1,0,0,0,0,0
"stu1",2014,1,0,0,0,0,0
"stu1",2018,1,0,0,0,0,0
"stu1",2032,0,0,0,1,0,0
"stu1",2033,1,0,0,1,0,0
"stu1",2038,1,0,0,1,0,0
"stu1",2044,1,0,0,1,0,0
"stu1",2049,1,0,0,1,0,0
"stu1",2059,0,0,0,1,0,0
"stu1",2063,1,0,0,1,0,0
"stu1",2069,1,0,0,1,0,0
"stu1",2074,1,0,0,1,0,0
"stu1",2083,1,0,1,0,0,0
"stu1",2085,1,0,1,0,0,0
"stu1",2112,1,0,1,0,0,0
"stu1",2120,1,0,1,0,0,0
"stu1",2140,1,0,1,0,0,0
"stu1",2147,0,0,0,1,0,0
"stu1",2148,1,0,0,1,0,0
"stu1",2152,1,0,0,1,0,0
"stu1",2195,1,0,0,0,0,0
"stu1",2199,1,0,0,0,0,0
"stu1",2202,1,0,0,1,0,0
"stu1",2215,0,0,0,0,0,0
"stu1",2216,1,0,0,0,0,0
"stu1",2219,1,0,0,0,0,0
"stu1",2239,1,0,0,0,0,0
"stu1",2267,1,0,0,1,0,0
"stu1",2274,1,0,0,1,0,0
"stu1",2287,1,0,0,0,0,0
"stu1",2291,1,0,0,0,0,0
"stu1",2292,1,0,0,0,0,0
"stu1",2294,1,0,0,1,0,0
"stu1",2314,1,0,0,0,0,0
"stu1",2340,0,0,0,0,0,0
"stu1",2348,1,0,0,0,0,0
"stu1",2349,1,0,0,0,0,0
"stu1",2622,1,1,0,0,0,0
"stu1",2624,1,0,0,0,1,0
"stu1",2735,1,0,0,1,0,0
"stu1",2740,0,0,1,0,0,0
"stu1",2741,1,0,1,0,0,0
"stu1",2744,0,0,0,1,0,0
"stu1",2745,1,0,0,1,0,0
"stu1",2749,0,0,0,0,0,0
"stu1",2750,1,0,0,0,0,0
"stu1",2758,0,0,0,0,0,0
"stu1",2759,1,0,0,0,0,0
"stu1",2761,1,0,1,0,0,0
"stu1",2770,1,0,0,1,0,0
"stu1",2774,0,0,0,1,0,0
"stu1",2775,1,0,0,1,0,0
"stu1",2815,1,1,0,0,0,0
"stu1",2817,1,1,0,0,0,0
"stu1",2852,0,0,0,0,0,0
"stu1",2853,1,0,0,0,0,0
"stu1",2856,0,0,0,0,0,0
"stu1",2857,1,0,0,0,0,0
"stu1",2864,0,0,0,0,0,0
"stu1",2868,1,0,0,0,0,0
"stu1",2894,1,0,0,0,0,0
"stu1",2901,1,0,0,0,0,0
"stu1",2923,1,0,0,0,0,0
"stu1",2928,0,0,0,0,0,0
"stu1",2929,1,0,0,0,0,0
"stu1",2930,1,0,0,0,0,0
"stu1",2941,1,0,0,0,0,0
"stu1",2990,1,0,0,1,0,0
"stu1",2991,1,0,0,1,0,0
"stu1",2998,0,0,0,1,0,0
"stu1",3002,1,0,0,1,0,0
"stu1",3019,1,0,0,1,0,0
"stu1",3067,1,0,0,1,0,0
"stu1",3120,1,0,1,0,0,0
"stu1",3133,1,0,1,0,0,0
"stu1",3141,1,1,0,0,0,0
"stu1",3142,1,0,1,0,0,0
